Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1961-01-01,5.10355367185686,4.64828489940817,-0.000748238801573935,-3.62780502889757,-3.6797311234879,,,Parameter Point Estimates,,,,,,,,,,,,,,,,1961-01-01,1.48096653352301,1.28043592342372,0.542005666669409,,,4.48708971772973,4.13818434492342,-0.0570685504389817,-3.30679319453805
1961-04-01,5.27917508921088,4.8037362245517,0.00417140077510998,-3.24217026646807,-3.78032064485671,,,a_1,a_2,a_3,b_1,b_2,b_3,b_4,b_5,c,sigma_1,sigma_2,sigma_4,phi,kappa2020Q2-Q4,kappa2021,kappa2022,1961-04-01,1.51665666207654,1.26846729908746,0.530299952421403,,,4.47084353241773,4.13007507291521,-0.0644099088091605,-2.79366339914532
1961-07-01,5.26064090003246,4.78434069652204,0.00693552547428681,-2.4924294567752,-3.80839337637783,,,1.35247550916378,-0.405911998004637,-0.0894056521031139,0.545146952489845,0.376107035771443,0.0460896647867694,0.00263504796411809,0.0413775343739316,1.09810435916015,0.454879197361754,0.753289897414524,0.50171364007301,-0.0654071509140142,9.66448788700939,1.79325072598405,1,1961-07-01,1.54728923304495,1.25733611162009,0.519954242952565,,,4.45010920416358,4.11883685383532,-0.0728034997024765,-2.0226660019257
1961-10-01,5.2728448365265,4.79759003285436,0.00459030798581536,-1.78422742368468,-3.69134739743643,,,T Statistics,,,,,,,,,,,,,,,,1961-10-01,1.57191073189742,1.24707117807658,0.510599105829772,,,4.42615407070358,4.10499074634759,-0.0815541621728021,-1.22208982874974
1962-01-01,5.14953202710771,4.68338029408758,0.00669171056537377,-0.989781497765421,-3.62159909161438,,,12.2644588214229,3.52584323335224,4.73955785727845,11.5175909104949,6.92973389321088,2.25693368978139,2.92154582566505,5.03709052118095,3.22892859201828,4.21024825393002,27.5687579618671,5.33535511024501,2.19873119115917,2.17908337388909,3.07133597720278,1.77503234129518,1962-01-01,1.58312321869642,1.23828795339602,0.501756695553014,,,4.40312001575103,4.09060135820496,-0.0887871672802947,-0.596335912890027
1962-04-01,4.66725276995076,4.25456389474392,-0.00470238919294785,-0.429960495145224,-3.10934700459347,,,,,,,,,,,,,,,,,,,1962-04-01,1.57063695419151,1.23274545479642,0.493207722107679,,,4.39195643390019,4.08502576451513,-0.0938281653954189,-0.398753163750484
1962-07-01,4.5555823620682,4.15578205798966,-0.00790003152980212,-0.0616275993299951,-2.98788111324702,,,,,,,,,,,,,,,,,,,1962-07-01,1.56338768104971,1.22913312516751,0.484740532449129,,,4.38647983036267,4.08204644621302,-0.0960331665180729,-0.23197267747355
1962-10-01,4.11075061329656,3.77139836434312,-0.0306383707180956,0.0792510597228784,-2.42431368393383,,,Average Standard Errors,,,,,,,,,,,,,,,,1962-10-01,1.56536408654628,1.22945437510635,0.476623541511497,,,4.39787287792174,4.09218930983419,-0.0957780417157675,-0.400020757210882
1963-01-01,4.09489548874025,3.75422810845076,-0.0276387624311141,0.283453286436043,-2.50233619860475,,,y*,r*,g,,,,,,,,,,,,,,1963-01-01,1.57450770582622,1.23091047168013,0.469167278869295,,,4.41162446420369,4.10387131646598,-0.0948545178399262,-0.298035289579502
1963-04-01,4.06022624824695,3.72143678670461,-0.0262997095723376,0.562125180383418,-2.52715595007658,,,1.94172867489527,1.19887638073429,0.428596293518475,,,,,,,,,,,,,,1963-04-01,1.59271324496472,1.23330892600032,0.462707286020652,,,4.42680594194904,4.11758775482932,-0.0947351208535094,-0.0578969515787549
